Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.8151E-05,0.14906,0.14691,0,0,0,5.1718,0.012199,-3.0277E-07,-0.00011127,0.072636,1.8521E-06,0.068154,0,0,0,0,0,0,package://prototype_urdf2/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/base_link.STL,,prototype_base_urdf2-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Front_Left_Upper_Arm,6.6613E-16,0.0147,0.005,0,0,0,0.035646,3.835E-05,1.5009E-18,4.9911E-19,6.6493E-05,1.8691E-20,0.00010426,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Left_Upper_Arm.STL,1,1,1,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Left_Upper_Arm.STL,,Upper_Arm-3,Origin_base_joint_FLUA3,FLUA,base_joint_FLUA,revolute,0.15448,-0.14429,0.12049,-0.1407,0,-1.5726,base_link,-1,0,0,0,0,0,0,,,,,,,,
Front_Left_Wheel_Connect_U,1.9429E-16,-0.011825,-0.0047437,0,0,0,4.2725E-05,4.0077E-08,-4.7098E-23,1.4089E-23,4.5681E-08,-1.4715E-09,2.8052E-08,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Left_Wheel_Connect_U.STL,1,0,0,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Left_Wheel_Connect_U.STL,,Wheel connect-1,Origin_FLUA_joint_FLWC3,FLWCU,FLUA_joint_FLWC,revolute,0,0.084743,-0.032957,0.1407,0,0,Front_Left_Upper_Arm,1,0,0,0,0,0,0,,,,,,,,
Front_Left_Wheel,1.4086E-06,-0.018579,-3.15E-05,0,0,0,0.0005833,8.6958E-07,1.2157E-11,-1.9549E-11,1.6137E-06,-2.7388E-10,8.6989E-07,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Left_Wheel.STL,1,0,0,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Left_Wheel.STL,,Wheel-1,Origin_FLWC_joint_FLWC3,FLW,FLWC_joint_FLW,continuous,0,0,0,0,0.87883,-3.1416,Front_Left_Wheel_Connect_U,0,1,0,3.1,7,,,,,0,0,,,,
Front_Left_Lower_Arm,-2.7756E-17,0.013612,0.0065523,0,0,0,0.037752,2.6733E-05,-1.1805E-19,-7.6023E-20,6.0063E-05,-2.223E-07,8.5645E-05,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Left_Lower_Arm.STL,1,1,1,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Left_Lower_Arm.STL,,Lower_Arm-3,Origin_base_joint_FLLA3,FLLA,base_joint_FLLA,revolute,0.14944,-0.14428,0.047772,-0.21347,0,-1.5726,base_link,1,0,0,0,0,0,0,,,,,,,,
Front_Left_Wheel_Connect_L,1.66533453693773E-16,-0.01182470467978,-0.00474369285104252,0,0,0,4.27254738673187E-05,4.00769893258482E-08,-3.38045451895694E-23,1.64898971111911E-23,4.56805348900452E-08,-1.47149337236907E-09,2.805162477184E-08,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Left_Wheel_Connect_L.STL,1,0,0,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Left_Wheel_Connect_L.STL,,Wheel connect-1,Origin_FLLA_joint_FLWC3,FLWCL,FLLA_joint_FLWC,revolute,0,0.076435,0.045428,0.21347,0,0,Front_Left_Lower_Arm,-1,0,0,0,0,0,0,,,,,,,,
Front_Left_Suspension,-0.02505,0.0053253,0.057836,0,0,0,0.097501,7.9254E-06,2.402E-09,2.0772E-08,1.8592E-05,-7.2341E-07,1.2438E-05,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Left_Suspension.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Left_Suspension.STL,,suspension-1,Origin_base_joint_FLS3,FLS,base_joint_FLS,prismatic,0.16284,-0.086237,0.1322,-1.4553,-1.1874,3.1397,base_link,0,-0.11521,-0.99334,1000,1000,-0.04,0,,,0,0,,,,
Front_Left_Lower_Arm_S,-2.77555756156289E-17,0.013612079592021,0.00655228418322651,0,0,0,0.0377520303994239,2.67333578708892E-05,-1.1777728433775E-19,-7.73430416349332E-20,6.00628817070965E-05,-2.22296810574117E-07,8.56446705491993E-05,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Left_Lower_Arm_S.STL,1,1,1,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Left_Lower_Arm_S.STL,,Lower_Arm-3,Origin_FLS_joint_FLLA3,FLLAS,FLS_joint_FLLA,fixed,-0.073326,0.050307,0.052619,0.97395,-1.4553,1.5708,Front_Left_Suspension,0,0,0,,,,,,,0,0,,,,
Back_Left_Upper_Arm,2.77555756156289E-17,-0.0147001536622141,-0.005,0,0,0,0.0356457256760713,3.83497573600796E-05,-8.08469759769435E-20,-2.31852808455335E-20,6.64927053825921E-05,-2.71050543121376E-20,0.000104259142609384,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Left_Upper_Arm.STL,1,1,1,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Left_Upper_Arm.STL,,Upper_Arm-4,Origin_base_joint_BLUA3,BLUA,base_joint_BLUA,revolute,0.15447,0.135,0.12049,3.0009,0,-1.5708,base_link,1,0,0,0,0,0,0,,,,,,,,
Back_Left_Wheel_Connect_U,-1.3878E-16,0.011825,0.0047439,0,0,0,4.2725E-05,4.0077E-08,-2.4975E-23,6.5432E-24,4.5681E-08,-1.4715E-09,2.8052E-08,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Left_Wheel_Connect_U.STL,1,0,0,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Left_Wheel_Connect_U.STL,,Wheel connect-4,Origin_BLUA_joint_BLWC3,BLWCU,BLUA_joint_BLWC,revolute,0,-0.084743,0.032957,0.1407,0,0,Back_Left_Upper_Arm,1,0,0,0,0,0,0,,,,,,,,
Back_Left_Wheel,1.40862745898196E-06,-0.0185785956024857,-3.13163303364006E-05,0,0,0,0.000583296678332389,8.6958020227038E-07,1.2156654097372E-11,-1.95489792553624E-11,1.61370446750533E-06,-2.73880661125538E-10,8.69890840625022E-07,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Left_Wheel.STL,1,0,0,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Left_Wheel.STL,,Wheel-4,Origin_BLWC_joint_BLW3,BLW,BLWC_joint_BLW,continuous,0,0,0,0,0,0,Back_Left_Wheel_Connect_U,0,1,0,3.1,7,,,,,,,,,,
Back_Left_Lower_Arm,2.77555756156289E-17,-0.0136120795920238,-0.00655228418322451,0,0,0,0.0377520303994239,2.67333578708892E-05,-1.0339645159441E-19,-5.57410387269857E-20,6.00628817070965E-05,-2.22296810574141E-07,8.56446705491993E-05,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Left_Lower_Arm.STL,1,1,1,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Left_Lower_Arm.STL,,Lower_Arm-4,Origin_base_joint_BLLA3,BLLA,base_joint_BLLA,revolute,0.14944,0.135,0.047772,2.9281,0,-1.5708,base_link,1,0,0,0,0,0,0,,,,,,,,
Back_Left_Wheel_Connect_L,-1.38777878078145E-16,0.0118247046797822,0.00474387706085233,0,0,0,4.27254738673186E-05,4.0076989325848E-08,-2.49245205610583E-23,6.44597877411744E-24,4.56805348900451E-08,-1.47149337236906E-09,2.805162477184E-08,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Left_Wheel_Connect_L.STL,1,0,0,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Left_Wheel_Connect_L.STL,,Wheel connect-4,Origin_BLLA_joint_BLWC3,BLWCL,BLLA_joint_BLWC,revolute,0,-0.076435,-0.045428,0.21347,0,0,Back_Left_Lower_Arm,-1,0,0,0,0,0,0,,,,,,,,
Back_Left_Suspension,-0.0250501195396812,0.00532528573434377,0.0578364361373781,0,0,0,0.0975010516337178,7.92535130270424E-06,2.40205751875798E-09,2.07721001720025E-08,1.85918479783726E-05,-7.23412240509213E-07,1.24383810777078E-05,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Left_Suspension.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Left_Suspension.STL,,suspension-2,Origin_base_joint_BLS3,BLS,base_joint_BLS,prismatic,0.16528,0.076934,0.13323,1.6863,-1.1874,-3.1416,base_link,0,-0.11521,-0.99334,1000,1000,-0.04,0,,,0,0,,,,
Back_Left_Upper_Arm_S,5.8287E-16,-0.013612,-0.0065523,0,0,0,0.037752,2.6733E-05,-1.0752E-19,-5.4113E-20,6.0063E-05,-2.223E-07,8.5645E-05,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Left_Upper_Arm_S.STL,1,1,1,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Left_Upper_Arm_S.STL,,Lower_Arm-4,Origin_BLS_joint_BLUA3,BLLAS,BLS_joint_BLUA,fixed,-0.073326,-0.039657,0.063053,0.97395,1.4553,-1.5708,Back_Left_Suspension,-1,0,0,,,,,,,,,,,,
Front_Right_Upper_Arm,-1.11022302462516E-16,0.0147001536622058,0.00499999999999509,0,0,0,0.0356457256760713,3.83497573600796E-05,1.17433177202928E-19,-1.48348225416485E-19,6.64927053825921E-05,-2.47566530101826E-20,0.000104259142609384,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Right_Upper_Arm.STL,1,1,1,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Right_Upper_Arm.STL,,Upper_Arm-2,Origin_base_joint_FRUA3,FRUA,base_joint_FRUA,revolute,-0.15588,-0.14371,0.13039,-3.0009,0,-1.5726,base_link,1,0,0,0,0,0,0,,,,,,,,
Front_Right_Wheel_Connect_U,-1.41553435639707E-15,-0.0118247046797807,-0.00474369285104376,0,0,0,4.27254738673187E-05,4.00769893258482E-08,6.45672629234458E-22,-1.60242471358E-22,4.56805348900447E-08,-1.47149337237219E-09,2.80516247718406E-08,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Right_Wheel_Connect_U.STL,1,0,0,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Right_Wheel_Connect_U.STL,,Wheel connect-2,Origin_FRUA_joint_FRWC3,FRWCU,FRUA_joint_FRWC,revolute,0,0.084743,0.042957,-3.0009,0,3.1416,Front_Right_Upper_Arm,-1,0,0,0,0,0,0,,,,,,,,
Front_Right_Wheel,1.4086323996132E-06,-0.0185785955621235,-3.15006737992771E-05,0,0,0,0.000583296673656307,8.69580200457977E-07,1.21569821151188E-11,-1.95491137831547E-11,1.61370446559763E-06,-2.73881322125108E-10,8.69890839854235E-07,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Right_Wheel.STL,1,0,0,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Right_Wheel.STL,,Wheel-2,Origin_FRWC_joint_FRW3,FRW,FRWC_joint_FRW,continuous,0,0,0,3.1416,0.38134,0,Front_Right_Wheel_Connect_U,0,1,0,3.1,7,,,,,,,,,,
Front_Right_Lower_Arm,-9.71445146547012E-16,0.0136120795920207,0.00655228418323024,0,0,0,0.0377520303994239,2.67333578708891E-05,-2.17577617859008E-18,-7.82215074454645E-19,6.00628817070964E-05,-2.22296810576787E-07,8.56446705491991E-05,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Right_Lower_Arm.STL,1,1,1,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Right_Lower_Arm.STL,,Lower_Arm-2,Origin_base_joint_FRLA3,FRLA,base_joint_FRLA,revolute,-0.14944,-0.14372,0.047772,-0.21347,0,1.5689,base_link,1,0,0,0,0,0,0,,,,,,,,
Front_Right_Wheel_Connect_L,-1.41553435639707E-15,-0.0118247046797851,-0.00474369285103179,0,0,0,4.27254738673187E-05,4.00769893258482E-08,6.45840650296383E-22,-1.60075258105049E-22,4.56805348900447E-08,-1.47149337237219E-09,2.80516247718406E-08,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Right_Wheel_Connect_L.STL,1,0,0,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Right_Wheel_Connect_L.STL,,Wheel connect-2,Origin_FRLA_joint_FRWC3,FRWCL,FRLA_joint_FRWC,revolute,0,0.076435,0.045428,0.21347,0,0,Front_Right_Lower_Arm,-1,0,0,0,0,0,0,,,,,,,,
Front_Right_Suspension,-0.025050119534153,0.00532528572925309,0.0578364361376996,0,0,0,0.0975010516234581,7.92535130195144E-06,2.4020624093064E-09,2.07721001697917E-08,1.8591847980283E-05,-7.23412238881963E-07,1.24383810794388E-05,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Right_Suspension.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Right_Suspension.STL,,suspension-3,Origin_base_joint_FRS3,FRS,base_joint_FRS,prismatic,-0.16517,-0.08563,0.13323,1.6863,-1.1874,-0.0018512,base_link,0,-0.11521,-0.99334,1000,1000,-0.04,0,,,,,,,,
Front_Right_Lower_Arm_S,-1.02695629777827E-15,0.0136120795920232,0.0065522841832287,0,0,0,0.0377520303994238,2.67333578708891E-05,-2.19549616439335E-18,-7.82830496830385E-19,6.00628817070964E-05,-2.22296810576787E-07,8.56446705491992E-05,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Right_Lower_Arm_S.STL,1,1,1,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Front_Right_Lower_Arm_S.STL,,Lower_Arm-2,Origin_FRS_joint_FRLA3,FRLAS,FRS_joint_FRLA,fixed,-0.073326,-0.039657,0.063053,-2.1676,1.4553,-1.5708,Front_Right_Suspension,-1,0,0,,,,,,,,,,,,
Back_Right_Upper_Arm,-2.77555756156289E-17,0.0127333626706839,0.00888571847345739,0,0,0,0.0356457256760713,3.83497573600796E-05,1.20745472750592E-21,-5.73648270196137E-21,6.94053826276099E-05,-1.00756018977639E-05,0.000101346465364366,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Right_Upper_Arm.STL,1,1,1,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Right_Upper_Arm.STL,,Upper_Arm-1,Origin_base_joint_BRUA3,BRUA,base_joint_BRUA,revolute,-0.15588,0.135,0.13039,3.0009,0,-1.5708,base_link,1,0,0,0,0,0,0,,,,,,,,
Back_Right_Wheel_Connect_U,-1.19348975147204E-15,0.0118246651845647,0.00474369285103651,0,0,0,4.27254738673186E-05,4.00769893258481E-08,1.68109028574327E-24,-4.64395195790113E-24,4.56805348900451E-08,-1.47149337236923E-09,2.80516247718401E-08,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Right_Wheel_Connect_U.STL,1,0,0,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Right_Wheel_Connect_U.STL,,Wheel connect-3,Origin_BRUA_joint_BRWC3,BRWCU,BRUA_joint_BRWC,revolute,0,0.069481,0.064801,-0.14071,0,3.1416,Back_Right_Upper_Arm,-1,0,0,0,0,0,0,,,,,,,,
Back_Right_Wheel,1.40862745938442E-06,-0.0185786350977028,-3.15005401522739E-05,0,0,0,0.000583296678332387,8.69580202270378E-07,1.21566541036994E-11,-1.95489792557145E-11,1.61370446750533E-06,-2.73880661124133E-10,8.69890840625018E-07,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Right_Wheel.STL,1,0,0,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Right_Wheel.STL,,Wheel-3,Origin_BRWC_joint_BRW3,BRW,BRWC_joint_BRW,continuous,0,0,0,3.1416,0.26012,3.1416,Back_Right_Wheel_Connect_U,0,1,0,3.1,7,,,,,,,,,,
Back_Right_Lower_Arm,2.77555756156289E-17,-0.0151034357011666,-0.000327671875584697,0,0,0,0.0377520303994239,2.67333578708892E-05,1.00807927757276E-20,-3.16035372917846E-21,6.42816105258092E-05,9.49601878939577E-06,8.14259417304866E-05,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Right_Lower_Arm.STL,1,1,1,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Right_Lower_Arm.STL,,Lower_Arm-1,Origin_base_joint_BRLA3,BRLA,base_joint_BRLA,revolute,-0.14944,0.135,0.047772,-2.9281,0,1.5708,base_link,1,0,0,0,0,0,0,,,,,,,,
Back_Right_Wheel_Connect_L,-1.22124532708767E-15,0.0118246651845647,0.00474369285103653,0,0,0,4.27254738673186E-05,4.00769893258481E-08,1.68389606891831E-24,-4.65712277444244E-24,4.56805348900451E-08,-1.47149337236923E-09,2.805162477184E-08,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Right_Wheel_Connect_L.STL,1,0,0,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Right_Wheel_Connect_L.STL,,Wheel connect-3,Origin_BRLA_joint_BRWC3,BRWCL,BRLA_joint_BRWC,revolute,0,-0.088385,-0.0097003,-0.21347,0,0,Back_Right_Lower_Arm,-1,0,0,0,0,0,0,,,,,,,,
Back_Right_Suspension,-0.0250501195396812,0.00532528573434388,0.0578364361373782,0,0,0,0.0975010516337173,7.92535130270421E-06,2.40205751875972E-09,2.07721001720319E-08,1.85918479783725E-05,-7.23412240509219E-07,1.24383810777076E-05,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Right_Suspension.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Right_Suspension.STL,,suspension-4,Origin_base_joint_BRS3,BRS,base_joint_BRS,prismatic,-0.16528,0.19306,0.13323,1.6863,-1.1874,0,base_link,0,-0.11521,-0.99334,1000,1000,-0.04,0,,,,,,,,
Back_Right_Lower_Arm_S,-4.16333634234434E-16,-0.0151034357011682,-0.000327671875581984,0,0,0,0.0377520303994239,2.67333578708892E-05,1.12227954004255E-20,-3.32135601854727E-21,6.42816105258092E-05,9.49601878939576E-06,8.14259417304866E-05,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Right_Lower_Arm_S.STL,1,1,1,1,0,0,0,0,0,0,package://prototype_urdf2/meshes/Back_Right_Lower_Arm_S.STL,,Lower_Arm-1,Origin_BRS_joint_BRLA3,BRLAS,BRS_joint_BRLA,fixed,-0.073326,-0.039657,0.063053,1.4009,1.4553,-1.5708,Back_Right_Suspension,-1,0,0,,,,,,,,,,,,
